name,state,country,category,is_target
Goldey-Beacom College,DE,USA,university,false
Goldfarb School of Nursing at Barnes-Jewish College,MO,USA,university,false
Gonzaga University,WA,USA,university,false
Goodwin College,CT,USA,university,false
Gordon College,MA,USA,university,false
Gordon State College,GA,USA,university,false
Gordon-Conwell Theological Seminary,MA,USA,university,false
Goshen College,IN,USA,university,false
Goucher College,MD,USA,university,false
Governors State University,IL,USA,university,false
Grace Bible College,MI,USA,university,false
Grace College & Seminary,IN,USA,university,false
Grace University,NE,USA,university,false
Graceland University,IA,USA,university,false
Graduate Institute of Applied Linguistics,TX,USA,university,false
Graduate Theological Union,CA,USA,university,false
Grambling State University,LA,USA,university,false
Grand Canyon University,AZ,USA,university,false
Grand Valley State University,MI,USA,university,false
Grand View University,IA,USA,university,false
Granite State College,NH,USA,university,false
Gratz College,PA,USA,university,false
Great Basin College,NV,USA,university,false
Great Lakes Christian College,MI,USA,university,false
Green Mountain College,VT,USA,university,false
Greensboro College,NC,USA,university,false
Greenville College,IL,USA,university,false
Grinnell College,IA,USA,university,false
Grove City College,PA,USA,university,false
Guilford College,NC,USA,university,false
Gulf Coast State College,FL,USA,university,false
Gustavus Adolphus College,MN,USA,university,false
Gwynedd Mercy University,PA,USA,university,false
Hamilton College,NY,USA,university,false
Hamline University,MN,USA,university,false
Hampden-Sydney College,VA,USA,university,false
Hampshire College,MA,USA,university,false
Hampton University,VA,USA,university,false
Hannibal-Lagrange College,MO,USA,university,false
Hanover College,IN,USA,university,false
Hardin-Simmons University,TX,USA,university,false
Harding University,AR,USA,university,false
Harrington College of Design,IL,USA,university,false
Harris-Stowe State University,MO,USA,university,false
Harrisburg University of Science & Technology,PA,USA,university,false
Hartford Seminary,CT,USA,university,false
Hartwick College,NY,USA,university,false
Harvard University,MA,USA,university,false
Harvey Mudd College,CA,USA,university,false
Haskell Indian Nations University,KS,USA,university,false
Hastings College,NE,USA,university,false
Haverford College,PA,USA,university,false
Hawaii Pacific University,HI,USA,university,false
Hazelden Graduate School of Addiction Studies,MN,USA,university,false
Hebrew College,MA,USA,university,false
Hebrew Theological College,IL,USA,university,false
Hebrew Union College-Jewish Institute of Religion,CA,USA,university,false
Hebrew Union College-Jewish Institute of Religion,NY,USA,university,false
Hebrew Union College-Jewish Institute of Religion,OH,USA,university,false
Heidelberg College,OH,USA,university,false
Hellenic College/Holy Cross Greek Orthodox School of Theology,MA,USA,university,false
Henderson State University,AR,USA,university,false
Hendrix College,AR,USA,university,false
Henry M. Gunn High School,CA,USA,high_school,false
Heritage University,WA,USA,university,false
Herzing University,WI,USA,university,false
Hewlett High School,NY,USA,high_school,false
High Point University,NC,USA,university,false
Hilbert College,NY,USA,university,false
Hillsdale College,MI,USA,university,false
Hiram College,OH,USA,university,false
Hobart & William Smith Colleges,NY,USA,university,false
Hobe Sound Bible College,FL,USA,university,false
Hodges University,FL,USA,university,false
Hofstra University,NY,USA,university,false
Hollins University,VA,USA,university,false
Holy Apostles College & Seminary,CT,USA,university,false
Holy Cross College,IN,USA,university,false
Holy Family University,PA,USA,university,false
Holy Names University,CA,USA,university,false
Hood College,MD,USA,university,false
Hope College,MI,USA,university,false
Hope International University,CA,USA,university,false
Houghton College,NY,USA,university,false
Houston Baptist University,TX,USA,university,false
Howard Payne University,TX,USA,university,false
Howard University,DC,USA,university,false
Hult International Business School,MA,USA,university,false
Humboldt State University,CA,USA,university,false
Humphreys College,CA,USA,university,false
Huntingdon College,AL,USA,university,false
Huntington University,IN,USA,university,false
Husson University,ME,USA,university,false
